,Akuapem Twi
6432,Asamoah nso tɔn ne kar.
6433,Mede me ho too no so.
6434,Ɛte sɛ nea mfomso bi wom.
6435,Medii sandwich
6436,Adwuma no ma wɔn a wɔyɛ adwuma no nyinaa nya ayaresa ne owu ho sika a wotua no so mfaso.
6437,Wɔremma wonyi obiara adi.
6438,So eyi yɛ Asamoah yere?
6439,Saa ɔbarima no ho yɛ hu.
6440,"Wɔ dapɛn yi mu no, na mewɔ mfinimfini mu akwama abiɛsa."
6441,Wamfa asɛm no amma wɔn.
6442,So wɔn afrɛ me?
6443,"Efi Dwoda rekɔ no, ɔyare wɔ mpa so."
6444,Nnipa nkutoo ne mmoa a wɔhyɛ ntade.
6445,Dɛn nti na ɛsɛ sɛ obi tua sika?
6446,Yɛwɔ aduaba ne chocolate cookies.
6447,Anuanom mmea no te sɛ wɔn ho wɔn ho.
6448,"Mebɔɔ mmɔden sɛ mɛboa no, nanso biribiara nni hɔ a metumi ayɛ."
6449,Medwene Asamoah ho ho da biara da.
6450,Wakyerɛw krataa.
6451,"Ɔyɛɛ ne ho sɛ obi a ɔtɔn nneɛma, na ɔkɔɔ ne fie."
6452,Ɔkɔm de me kakra.
6453,M'ani gye wo turo ho.
6454,"Ná ne bo dwo, nanso na ehu aka no paa."
6455,So ɛte sɛ nea Asamoah abufu ano brɛɛ ase?
6456,Otumi paw ne ho sɛ kurow sohwɛfo.
6457,"Esiane ahum no nti, yɛ to yɛn akwantu no hyɛ da foforo."
6458,Asamoah tee atinka bi sɛ apataa bi a ofi nsu mu.
6459,Dɛn nti na wugye bere pii di aduan?
6460,Ma memfa mo nneɛma no bi mmoa wo.
6461,"Me papa yere maa me biribiara, gye nea mepɛ nko ara."
6462,Anuanom mmarima dodow ahe na wowɔ?
6463,Ɛkame ayɛ sɛ mfaso biara nni nsɛm asekyerɛ nhoma yi so.
6464,Bere nyinaa na Asamoah ne Boatema di nsɛm te sɛ abofra.
6465,"Sɛnea Asamoah antumi annye anni no, saa ara na na n'adwene yɛ no sɛ Boatema adaadaa no."
6466,Wɔkyeree Asamoah Dwoda.
6467,Nhwehwɛ me.
6468,Mipiraa me nan nifa.
6469,Minim papa ne bɔne.
6470,Wofii ase tɔn nneɛma a ne bo nyɛ den Dwoda.
6471,Saa aduaba yi mu fã aporɔw.
6472,"Meka saa pɛn wei, na ɛnyɛ nea ɛwɔ ɔpon no so no."
6473,Migyaee aware.
6474,Minnim Australia ho nsɛm pii.
6475,Mmepɔw atwa ɔtare no ho ahyia.
6476,Yɛrentumi mmu yɛn ani ngu ɔhaw yi so.
6477,Minyinii sɛnea ɛsɛ a metumi anya tumi krataa afi ofirikafo no hɔ.
6478,Ná ɛsɛ sɛ woyi adwumayɛfo pii fi hɔ esiane sikasɛm mu ahokyere nti.
6479,Wususuw sɛ na ɛyɛ dɛn?
6480,Asamoah yɛ adamfo koro pɛ a Boatema wɔ.
6481,So woda so ara dɔ wo yere?
6482,Mfa wo nsa nka saa nhoma no.
6483,Da bi okum ne ho.
6484,Migye di yiye.
6485,Mayɛ krado.
6486,Ɛhe na ɔkyerɛwfo no dwumadibea wɔ?
6487,Asamoah pɛ tete nnwom nanso Boatemaa mpɛ.
6488,Boatemaa ka kyerɛɛ me sɛ menyɛ me ho sɛ me yɛ ne mpena.
6489,Paapa kyerɛɛ German krataa no ase kɔɔ Japan kasa mu.
6490,Migye di sɛ biribiara bɛkɔ so pɛpɛɛpɛ.
6491,Ɔkɔɔ Paris nea edi kan.
6492,Wɔyɛɛ no sɛ ɔnyɛ n'apɛde.
6493,"Mpɛn pii no, wuhu sɛ tema dan ɔdɔ."
6494,Ná ayeforo no ho yɛ fɛ yiye.
6495,Me wɔfa na odii Vietnam Ko no mu akoten.
6496,Bere a Yasoah hwɛɛ kwan sɛ ɔbɛyɛ nnwom to nii.
6497,Merentumi ntɔ kar foforo.
6498,Obiara nnɔ no da.
6499,Misusuw nea ɛkyerɛ no.
6500,Aduan a m'ani gye ho paa ne ice cream.
6501,Wotumi sua ade.
6502,Ma yɛnhwɛ nea ebesi.
6503,Obiara nnye nea meka nni.
6504,Mɛma woahu nea ebefi mu aba ntɛm ara.
6505,Asamoah werɛ fii sɛ ɔbɛfa ne nnuro no anɔpa yi.
6506,"Bere a miduu hɔ anɔpa no, mede nantew kɔɔ kwae mu."
6507,Ahum no sɛee nnua pii.
6508,"Wɔ July a ɛto so du mu no, wɔbɔɔ veto no amanneɛ."
6509,Obiara nni hɔ a ɔka saa kasa no bio.
6510,Dɛn nti na womfrɛ Asamoah ma ne sɔre?
6511,So wunnye nni sɛ Asamoah bɛ yɛ saa ?
6512,So yen a wotwa no ma nneɛma bo kɔ soro?
6513,Mɛhohoro fam bere a wohohoro nkyɛnsee mu no.
6514,"Ná n'abusua nsɛm tebea te saa araa ma esiane sɛ na ɛho hia nti, ɔbɛyɛɛ ɔkyerɛkyerɛfo."
6515,Misusuw sɛ ebetumi aba sɛ na Asamoah wɔ sukuu mu.
6516,Bere tenten ahe na wuhia de ada?
6517,Ɛsɛ sɛ wokenkan Shakespear nhoma.
6518,Asamoah tee Boatemaa.
6519,"Sɛ ne bo fuw a ɔtiem, ."
6520,Makenkan nhoma yi pɛn.
6521,"Ɛrenkyɛ, Asamoah no bɛsan aba."
6522,Bra be hu obiara.
6523,Efi atɔ ɔpon no so.
6524,Ɔhwehwɛɛ ɔmantam a ɛwɔ anafoɔ hɔ.
6525,So wopɛ sɛ woyɛ eyi ankasa?
6526,So w'ani begye ɛka akɛse anaa ɛka ketewa bi ho?
6527,Mmu m'ani ngu nkogu a madi no so.
6528,Misuaa no koma mu.
6529,Dɛn na Asamoah frɛɛ me?
6530,Dɛn na ama aba saa?
6531,Ɛyɛ den ma Asamoah sɛ ɔbɛkenkan ade.
6532,"Mewɔ nneɛma pii a mi kra, enti mintumi nnantew fie."
6533,Yɛtaa ka wim tebea ho asɛm.
6534,Ɔde wim tebea pa no yɛɛ turo bi.
6535,So ɔsom ahorow bi wɔ hɔ a wɔmma ho kwan sɛ woyi w ɔn honam?
6536,Mamfrɛ no.
6537,Ɔne ne kraman no fii adi sɛ ɔne wɔn retu mpase.
6538,Wususuw sɛ saa sika yi bɛtra hɔ bere tenten bɛn?
6539,Mesrɛ sɛ twa nhyehyɛe a mayɛ no mu na san yi sika no.
6540,Ná ɛno yɛ gyinae pa.
6541,"Sɛ obi yɛ nyaatwom a, ɛma nkurɔfo bu no animtiaa, na ɛma mmofra nso ani wu."
6542,Ɔkyerɛw nhoma a ɛka sika ho abakɔsɛm.
6543,Mewɔ lɔre.
6544,Asamoah wɔ adwuma pii yɛ
6545,Ɛyɛɛ mmerɛw maa me sɛ medi agoru no.
6546,N'atade ware.
6547,Polisifo bɔ wuraa fie hɔ.
6548,Eduru wo su sɛ wobɛto dwom.
6549,Nantew yiye da biara da.
6550,Ɔkaa dede no ho asɛm.
6551,"Sɛ́ Asamoah no, ɔwɔ biribiara ano aduru."
6552,Ɔbɔɔ mmɔden sɛ obekum ne ho anadwo a etwam no.
6553,Ɛsɛ sɛ wuyi w'atade.
6554,Akyinnye biara nni ho sɛ yɛ befiri osu a ɛtɔ yi mu.
6555,Seesei wobu no sɛ nhoma akyerɛwfo a wotumi de ho to no so sen akyerɛwfo biara no mu biako.
6556,Sika ahe na wode asie wo mpa ase?
6557,Wɔnom coke.
6558,Asamoah yɛ abusua no adamfo.
6559,Yenyaa ɔhaw wɔ baabiara.
6560,"Sɛ ɛnyɛ wo mmoa a, anka mintumi nyɛ."
6561,M’abrɛ
6562,Mepɛ sɛ wo hyehyɛ ɛkaw no.
6563,So wode wo ti nhwi yɛɛ biribi foforo?
6564,Nkae me
6565,Dabɛn na etwa to a woyiraa wo safe.
6566,Asamoah de no ho twee Boatemaa
6567,Nsɛe me bere.
6568,Ɛhe na na wokɔ awia mũ no nyinaa?
6569,Ɔbubuu mfɛnsere no mu.
6570,Kae ɛno.
6571,Ogyaee sigaretnom na ofii ase tuu mmirika.
6572,Efi bere tenten bɛn na wode yo-yo-yo adi agorɔ?
6573,"Sɛnea Asamoah ka no, ohuu biribiara."
6574,Na Asaomoah da Neema nkyɛn pɛɛ.
6575,Asiane pii wɔ hɔ.
6576,Misusuw sɛ ne nhoma no nyɛ anigye.
6577,Biribiara bo yɛ den wɔ ha.
6578,Metaa guare wɔ asubɔnten no mu.
6579,Ne ho pere no sɛ obehu nea ebefi mu aba.
6580,Eyi ye paa.
6581,Ebetumi aba sɛ ɔkyena na sukyerɛmma atɔ.
6582,Saa ɔbarima no ano yɛ nyunu.
6583,Ná wontie nnwom.
6584,"Sɛ́ Asamoah no, biribiara nni hɔ a ɛkyerɛ sɛnea ɔdɔ te."
6585,Ɛyɛ anigye ankasa.
6586,Dɛn na Asamoah yɛe saa bere no?
6587,Ɛbɛyɛ sɛ midii mfomso wɔ baabi foforo.
6588,Mɛyɛ dɛn atumi asiw me aboa a ɔpɛ sɛ okum nnomaa no kwan?
6589,"Awiei koraa no, wɔde Wiase Ko One no baa awiei."
6590,Asamoah ma kwan ma ne bo fuw mmom sen sɛ ɔne Boatemaa begye akyinnye.
6591,So wo nso wobɛkɔ bi?
6592,Pandas akɛseɛ te China nko ara.
6593,So ɛno nti na wopɛ sɛ ɛba no?
6594,"Anadwo biara, Asamoah frɛ nkurɔfo telefon so."
6595,Adwumayɛfo no adwuma fii wɔn nsa.
6596,"Yɛsrɛ wo, ka wanu to mu."
6597,Ɔbaa hɔ a obiara anhu no.
6598,Wunim saa nipa no?
6599,Asamoah bo fuwii.
6600,M’awie m'adwuma wɔ ha.
6601,Ná Asamoah suro sɛ wɔbɛto no pon atow safe no akyene.
6602,Obegye no nkwa.
6603,Minim onii ko a woreka ne ho asɛm no.
6604,"M'agua da ɔfã a ɛto so abiɛsa no so, ɛhe na wote?"
6605,Mmofra no reyɛ dede pii.
6606,"Woyɛ obi a wunnim wo, ɛnte saa?"
6607,M'ani gye nsoromma ho nimdeɛ ho.
6608,Me yam a anka manya akokoduru de ada me atinka adi.
6609,"M'ani gye biribiara ho sɛ mɛ pamu Asamoah efiri adwumamu, nanso mintumi nyɛ saa."
6610,So woba ha da biara?
6611,Ɔde paanoo hyɛ fononoo dedaw bi mu.
6612,Ná asau a ɛso ayɛ fĩ a ɛwɔ adidibea hɔ no yɛ yɛn abofono.
6613,Ɔkwan bɛn so na woyɛ adaka?
6614,Ná mabrɛ yiye nnɛ.
6615,"Sɛ osu tɔ mpo a, mefi ase ɔkyena."
6616,Mehwɛ kwan sɛ mehu wo nnansa yi ara.
6617,Meyɛɛ nkwaseasɛm anadwo a etwaam no.
6618,Sekyire nane nsu a emu yɛ hyew mu.
6619,Yɛrebɔ yɛn sobo pii.
6620,Ɛsɛ sɛ mo baanu ani gye.
6621,Asamoah yɛ rɔba ho oprehyɛn.
6622,"Yɛsrɛ wo, nyɛ saa."
6623,Ɛsɛ sɛ me anaasɛ Asamoah ɛkɔ.
6624,M'awofo baanu nyinaa mmɔ golf.
6625,Yɛtan basabasayɛ.
6626,Mmarima baanu hyiae anim ne anim.
6627,Yɛsrɛ sɛ fa sika no gu sikakorabea bi.
6628,Bere a oduu Matsuyama ara pɛ na ɔfrɛɛ ne wɔfa.
6629,Ɔfew n'ano guu n’afono.
6630,Aba a ɛsow no ye ma w'akwahosan.
6631,Saa abofra no tee nka sɛ ɔwɔ ahobammɔ wɔ ne maame nsam.
6632,Asamoah ne Boatemaa yɛ nnamfo bere tenten.
6633,Boatemaa nni ne ho mu ahotoso.
6634,Ɔde nneɛma a ɛyɛ fĩ no guu kukuo no mu.
6635,Bɛboro mfe anum ni a mante ne nka biara.
6636,Sɛnea Asamoah nim saa beae yi.
6637,Mintumi nnii ɔhaw no ho dwuma.
6638,Yɛn nyinaa yɛ adwuma.
6639,So wunim Isa ho biribi?
6640,Kɔmputa na wɔde yɛ nnwuma pii.
6641,Nah a ofi Bala no te nka sɛ ne ho nhia.
6642,"Bere biara a ɛbɛyɛ yiye no, na ɔkwati no."
6643,So amanneɛbɔ no betumi ayɛ nokware?
6644,Oyii ɛse twitwi aduro no fii ɛtoa bi mu.
6645,Ɛno ne bere a edi kan a mewɔ ha.
6646,Mempɛ emu biara.
6647,Odii amanyɔkuw no anim.
6648,Asamoah huu nusu a na ɛwɔ Boatemaa ani so.
6649,Ná m'adwene yɛ me sɛ Asamoah pɛ kasakoa.
6650,Wɔde wɔn ani kyerɛ owia no wɔ ɔtare no ho.
6651,"Bere a na mewɔ ntoaso sukuu no, na me Asamoah yɛ m'adamfo paa."
6652,"Yɛsrɛ wo, yɛ no ntɛm."
6653,Kar abien no dwiriw gui.
6654,Biribiara nni hɔ a ɛma Asamoah ani gye.
6655,Ɔnyɛ n'ade nyansam te sɛ ne nua panyin.
6656,Mma wo werɛ mmfi sɛ woafrɛ me ɔkyena.
6657,Wogyee wɔn fɛw so.
6658,Mfiri a wɔde foro abansoro biara nni hɔ.
6659,Ɔbɛkɔ so adɔ no akosi daa.
6660,Ɛnsɛ sɛ woka afoforo ho asɛmmɔne.
6661,Wɔayɛ wɔn adwene sɛ wɔrensan mma.
6662,"Sɛ emu da hɔ a, yebetumi akɔ so ayɛ saa."
6663,Ɛda adi sɛ onnwen yɛn ho.
6664,Ná ɔbarima no rewu.
6665,Worenya ɔhaw biara .
6666,Eyi nyɛ aseresɛm.
6667,"Sɛ́ Asamoah no, ɔda so ara da mpa mu."
6668,Minni kar foforo biara ankasa.
6669,Mmara yɛ mmara.
6670,Me nuabarima no wɔ sika pii a obetumi de atɔ kar.
6671,Dɛn ne sini w'ani gye ho paa?
6672,Akonta yɛ den ma me.
6673,Wɔakyerɛ ne nhoma no ase akɔ Japan kasa mu.
6674,So woakɔ po so hyɛn bi a etumi fa nsukyenee mu pɛn?
6675,So wobɛkyerɛkyerɛ me sɛnea mede afiri yi bedi dwuma?
6676,Me papa sɛe me.
6677,Mma ɛnnyɛ wo aniwu sɛ wobɛyɛ ohiani.
6678,Asamoah hyɛ ani katasuɔ.
6679,Bere bɛn na wɔbɛyɛ aduan no awie?
6680,Mesane ahoma wo de bɔ me ti nhwini no.
6681,Mihui sɛ ɛho hia sɛ migye bosea.
6682,Mɛkyerɛkyerɛ eyi mu akyiri yi.
6683,"Esiane sɛ na Asamoah ne Boatemaa wɔ ɔbrɛ kɛse nti, na wontumi ne wɔn ho nnye akyinnye."
6684,Asamoah tɔɔ afiri a wɔde twa nfoni ne nea afiri besi so no.
6685,Ɛyɛ anigye sɛ wo be tu mpasa akɔ wuram.
6686,Ka nea wo dwene kyerɛ yɛn na gyae ntoatoa no.
6687,Ɛyɛ sini a ɛyɛ serew paa.
6688,Ma yɛmfa kɔfe nnye yɛn ahome.
6689,Dɛn nti na wunni adagyew nnɛ?
6690,Mepɛ sɛ mihu wɔn.
6691,Me ho yɛ.
6692,So wokae Asamoah ?
6693,Bere tenten ahe na ɔkyerɛwfo no wui?
6694,Me nuabea no anyinsɛn wɔ June mu.
6695,Me mogya kuw no yɛ A posiitve .
6696,Wokae me wo nua no.
6697,M'ani gyei sɛ mihuu no bio.
6698,Ɛsɛ sɛ w'ankasa woyɛ.
6699,Asamoah ka kyerɛɛ me sɛ onsuro Boatemaa.
6700,Ebia obehu mmuae no.
6701,nkuruwa yi buo yɛ sɛn?
6702,"Sɛ miwie adwuma yi ara pɛ a, medi w'akyi."
6703,Biribi wɔ hɔ a ehia sɛ mekyerɛkyerɛ mu.
6704,Ná yɛhwɛ kwan sɛ wubetumi ayɛ ama yɛn.
6705,Ɛnsɛ sɛ yɛde nsanhɔ hyɛ saa kasamu yi mu.
6706,Yɛyɛ anuanom.
6707,Mihui sɛ ɔhyɛ me pamboa.
6708,Poony Express no dii asram 18 pɛ.
6709,Ná ogya atɔ fie hɔ.
6710,Aduan bo akɔ soro.
6711,Saa keteke yi kɔ Chicago anadwo dɔn kron.
6712,Asamoah hui sɛ ehu aka Boatemaa.
6713,"Sɛ́ Asamoah no, onnim nea ɛsɛ sɛ ɔyɛ."
6714,N'ani firii anomaa no so.
6715,Ɛrentumi mma sɛ yebenya ɔhaw yi ano aduru da bi.
6716,Mma wo werɛ mmfi sɛ wobɛkae ɛno.
6717,So metumi anya nufusu kuruwa biako?
6718,Hena na ɔbɛhwɛ abofra no?
6719,Asamoah fii bea a ɔtetɛ no
6720,Ɛyɛ nkuropɔn akɛse a ɛwɔ wiase no mu biako.
6721,Ɔmampanyin Polk yii hokwan no fii hɔ.
6722,"Bere a ɔtee asɛmmɔne no, osui."
6723,Wobɔɔ me sobo pii.
6724,Ɔbɔɔ no tuo.
6725,Ná adwuma no nyɛ anigye.
6726,"Nna m’ase sɛ metumi aboa wo. """
6727,Asamoah bisaa Boatemaa nea enti a na John nni anigye saa no.
6728,Ɛhaw ofie no yiye.
6729,Metow ɔbo too anomaa no .
6730,Nsɛm bɛn na worehwehwɛ?
6731,M'abam abu.
6732,Yɛda mo ase wɔ akyɛde nwonwaso yi ho.
6733,Momma yɛnyɛ yɛn ho te sɛ nea yɛwɔ anigye wɔ yɛn aware mu.
6734,Mfaso wɔ nsrahwɛ so wɔ Kyoto.
6735,Ɛnyɛ bɔne sɛnea ɛte no.
6736,Spania kasa yɛ ne kurom kasa.
6737,Yɛwɔ bere pii a yɛde didi.
6738,Yɛpɛe sɛ asi mo yiye.
6739,Mempɛ sɛ me ne wo bɛkɔ Boston.
6740,Me nanabea gyaw yɛn agyapade kɛse bi.
6741,Mekae sɛ metee saa nnwom no wɔ baabi.
6742,Obisaa me sɛ obetumi de telefon no adi dwuma anaa.
6743,da so ara wɔ hɔ.
6744,Nsu pii wɔ asubɔnten no mu.
6745,Yesusuw nsɛmti pii ho.
6746,Keteke no ntumi nsiw Siqua ne Dawda-Meguro ntam kwan.
6747,Meyɛ ɔkyerɛkyerɛfo pa.
6748,Kar yi te sɛ me de no ara.
6749,So wiase no bo afuw kɛse sen sɛnea wɔtaa yɛ no anɔpa yi?
6750,Ɔwɔ n'ankasa fie.
6751,Mɛsan aba bio nnɔn akron.
6752,"Sɛ obi frɛ me bere a minni hɔ a, ka kyerɛ wɔn sɛ mɛsan aba nnɔn anum."
6753,Wo sɛe m’adwene
6754,Ná ɛyaw no mu yɛ den araa ma mantumi anna.
6755,Misusuw sɛ ɛno nkyerɛ nsonsonoe biara.
6756,Wokum no wɔ ɔko no mu.
6757,Ná mebɔ tennis bɔɔl da mũ nyinaa.
6758,Ɛkame ayɛ sɛ m'ani da hɔ anadwo mũ nyinaa.
6759,Mintumi nka saa ɔhaw no ho hwee.
6760,Ná abɔ nnɔn abien.
6761,Ɔpanyin no penee yɛn nhyehyɛe no so.
6762,Wɔbɔ amanneɛ seesei sɛ yare yi nni Europa koraa.
6763,Ɛhaw me yiye.
6764,Minnim nea enti a sɛ yɛka sɛ Asamoah yɛ kɛse.
6765,So wadi nkogu bio?
6766,Misusuw sɛ ɛnyɛ nokware.
6767,Asamoah de nkyene guu ne nkesua so.
6768,Asamoah sɔɔ Boatemaa mo.
6769,So woaforo bepɔw Fiji pɛn?
6770,Ɛyɛ me dɛ paa sɛ mitumi boae.
6771,Me maame tɔɔ kyinii a ne kɔla yɛ akokɔsrade maa me nuabarima kumaa no.
6772,Migye tom.
6773,Ntɛm ara na ɔdaa.
6774,Me ne wo mmɔɔ nkɔmmɔ kakra.
6775,Asamoah nnim ho hwee.
6776,Asamoah ɛtɛksti Boatemaa
6777,Na mogya wɔ Asamoah atade so.
6778,Sɛnea Asamoah taataa Boatemaa sɛ ɔmboa John .
6779,Ɛsɛ sɛ woma w'awofo ani gye.
6780,Asamoah si ne fie akyi.
6781,Migye di sɛ wunsuro.
6782,Mede mfe abiɛsa akyerɛ Franse kasa.
6783,Ná ofie no bo yɛ den sen sɛnea na mehwɛ kwan no.
6784,Mmofra asoɔden a ɛrenya nkɔanim no yɛ ɔhaw kɛse.
6785,Midii mfomso kɛse bere a merepaw me yere no.
6786,Ebetumi aba sɛ na wɔnte asɛm bi ase.
6787,Ɛho hia sɛ metɔ krataa.
6788,Asamoah ani nnye agumadi ho no.
6789,Yɛtee dede bi wɔ dan no mu.
6790,Wo ne saa mmarima yi nkɔ.
6791,Ná me ne ɔbarima a m'ani gye paa wɔ asase so.
6792,Ná ɔhyɛ atade a ɛmfata.
6793,Mmoa bɛn na wuhia?
6794,Ná yɛnantew brɛoo fa kwan no so.
6795,Ebia menom nsa pii.
6796,Osuaa sɛnea nnomaa tu no ho ade.
6797,Boatemaa kae sɛ ɔrekɔ asaw anadwo mũ no nyinaa.
6798,Minnim sɛ onim anaa.
6799,Mantumi annyae serew.
6800,nufusu wɔ frigye mu.
6801,So ɔyɛ kɔmputa ho nimdefo?
6802,Ɔne ne nnamfo bɔ yiye.
6803,Ná hena na ɔwɔ hɔ saa anadwo no?
6804,"Mesrɛ wo, metumi agye wo pɛn?"
6805,So wobɛka ɔkwan a mɛfa so aba wo fie ho asɛm akyerɛ me?
6806,Minni biribiara ka.
6807,Oyii nsu no fii akutu pii mu.
6808,Ɛhe na saa ɔpanyin yi rekɔ?
6809,Ná anka anka ɛsɛ sɛ Asamoah pa Boatemaa kyɛw.
6810,Me ne m'awofo ka Franse kasa wɔ fie kɛkɛ.
6811,"Ɛnnɛ, wim tebea no nyɛ papa sɛ nnura no."
6812,Ɔrenyɛ obi a ɔbɔ bɔɔl pa.
6813,Mempɛ sɛ wohu me wɔ n'ayɔnkofo mu.
6814,Ná mmarimaa ne mmeawa pii wɔ agudibea hɔ.
6815,So wunim baabi a mmoa yɛmmea no wɔ?
6816,Ma yɛnhwɛ kwan sɛ tebea no bɛsɛe koraa.
6817,Wɔtɔn nnkyinii yiye.
6818,Me nso mifi Sikoku.
6819,So saa na wo maame te?
6820,Ná ɔpɛ sɛ osua Japanfo kasa bere nyinaa.
6821,Ɛho nhia sɛ wokasa den saa.
6822,Nnipa a mepɛ sɛ meto nsa frɛ wɔn ba yɛn ayeforohyia ase no din na ɛwɔ ha yi.
6823,Misusuw sɛ ɛyɛ mfomso sɛ yebedi nnipa honam.
6824,Ma yɛnsan mmra ha ɔkyena.
6825,Bere bɛn na abue?
6826,Ɛsɛ sɛ wugye w'ahome bere a woakɔ apɔw - mu - teɛteɛ awie no.
6827,Otuu no fo wɔ ɔkwan a ɔbɛfa so anya akwahosan pa ho.
6828,Asamoah mpɛ sɛ odi hia.
6829,Woafa safe foforo
6830,Ná ɛyɛ da a ɔhyew wom.
6831,"Wopɛ sɛ wuhu nea enti a mewɔ ha, ɛnte saa?"
6832,Wɔn a wotintim saa atesɛm krataa no ani gye ho yiye.
6833,Mintumi mano rennkɔ
6834,Asamoah tee nea enti a wo de dwuma no.
6835,Metumi akora nhoma yi so akosi bere bɛn?
6836,Mantumi annye ho kyim.
6837,Ná m'ani da hɔ.
6838,"Sɛnea Koosa ka no, ɔmpɛ sɛ osua Franse kasa."
6839,Mehwehwɛ ɔkasafo bi a ɔte bɛn me a obetumi aboa me ma yɛasiesie asɛm yi.
6840,Ɔkyerɛkyerɛfo pa te sɛ agya ma ne agumadifo.
6841,Ɛhe na Boston wɔ?
6842,So Asamoah piraa Neema?
6843,M'ani nnye ho sɛ mɛka German kasa.
6844,"Bere a meresan aba ha no, mframa a ano yɛ den no bɔ faa me kyinii no mu."
6845,Mayɛ krado sɛ saa da yi bɛba.
6846,Ná minnim Franse kasa yiye.
6847,Na ɔware kakra sen wo.
6848,Saa ɔdan yi yɛ fɛ.
6849,Nnyɛ agorɔ bi na Asamoah di.
6850,M'ani nnye saa agoru yi ho.
6851,Ogye n'ahome wɔ n'asen so.
6852,Asamoah da so ara da.
6853,Yɛde yɛn ho siee wuram sɛnea ɛbɛyɛ a obiara renhu yɛn.
6854,Mɛkyerɛ wo ahintasɛm bi.
6855,ɛtua no paee yɛ
6856,So Eyi Yɛ Asamoah?
6857,Ɛnsɛ sɛ wokɔ baabiara nnɛ.
6858,Ɛsɛ sɛ ne bo fuw.
6859,Mepɛ sɛ mekora ahɔhodan bi so.
6860,"Bere a wɔde kɔmaa nkurɔfo no, ebubuii wɔ kwan so."
6861,Biribi a ɛyɛ nwonwa sii wɔ Salvador kurow mu.
6862,"Bere a Asamoah suaa sɛnea obegye ɔdɔ a ne mmanoma de maa no no atom no, ogye toom."
6863,Wowa tu fi nhwiren so kɔ nhwiren so.
6864,Asamoah pɛ ntoes.
6865,Yɛn baanu nyinaa wɔ nneɛma a yentumi nnyae akyi di.
6866,Ná nhaban no nyinaa ahwe ase.
6867,Ofii dan no mu a wanka hwee.
6868,Mepɛ bosea.
6869,Ɔno ne ɔbarima a ɔwa sen biara a mahu pɛn.
6870,Ná mfutuma ayɛ ofie a hwee nni mu no ma.
6871,Bere a Belah de me kɔɔ adidibea bi a wubetumi adi aduan dodow biara a wopɛ dɔla aduasa no.
6872,Me ne Asamoah waree yɛn ho yɛn ho.
6873,"Yɛsrɛ wo, san kɔ w'agua so."
6874,M'abam ammu.
6875,Ɛno yɛ adwenkyerɛ a ɛyɛ anigye.
6876,Ma yɛmfa kar.
6877,Dɛn koraa na eyi kyerɛ?
6878,Saa abofra no kɔɔ so sui nnɔnhwerew pii.
6879,Ɛnsɛ sɛ anuanom de akasakasa ba wɔn ntam.
6880,Wɔka kyerɛ nsrahwɛfo sɛ ɛnsɛ sɛ wɔde wɔn nsa ka dwumadi no.
6881,Mempɛ sɛ mɛyɛ wo ayayade bio.
6882,Momma yennyaw gyinaesi no mma yɛn kyerɛkyerɛfo no.
6883,Me yam a anka esi wɔn yiye.
6884,Ɔdua nhabamma wɔ n'afuw mu.
6885,Ɛsono ɔman biara amammerɛ.
6886,Wote nka bɛn wɔ ho?
6887,Russia de wɔn ankasa asomdwoe apam no hyɛɛ Germany nsa.
6888,Obiara anwu.
6889,Na yenni hwee yɛ sɛ yebegyina ano.
6890,Mfomso ketewaa bi a wubedi no betumi de asiane kɛse bi aba.
6891,Biribi atoto wɔ me afiri a mede tintim nhoma no ho.
6892,Emu nea ɛwɔ he na wokoraa kyerɛwtohɔ no so?
6893,"Mahu sɛ wɔ Germany no, nsa bo yɛ den sen nsu?"
6894,Asamoah annye antom.
6895,Ɔwɔ fie nnɛ.
6896,Asamoah nni tii.
6897,So obetumi abɔ guitar no?
6898,Yɛrepopo yɛn ani.
6899,Mewɔ safe a ɛho hia sen biara.
6900,Ɛsɛ sɛ woba ha kosi anum.
6901,Wote Borɔfo kasa yiye ankasa.
6902,Ɔmaa no merɛ wɔ mmirikatu akansi no mu.
6903,Nsu nni hɔ.
6904,Owiee n'adwuma no.
6905,Ɛyɛɛ dɛn na wo nsa mu bui?
6906,Nyɛ biribi a ɛbɛma woanu wo ho.
6907,Ná saa aman no yɛ France de kane.
6908,So wuhui sɛ nanabarima mmubuafo akongua no?
6909,Onyaa adwuma no fii ne papa hɔ.
6910,Ɔhwehwɛɛ mmoa.
6911,Adwumayɛfo no ani gyee sɛnea wɔn adwumam panyin no yɛ n'ade wɔ ɔkwan soronko so no ho.
6912,Obiara mpɛ ɔko.
6913,Ná menka eyi ho asɛm nkyerɛ me mpena no.
6914,So w’ani da so ara kum?
6915,Saa mpaboa yi fata me nan.
6916,Ná ɔdan no si hɔ fɛfɛɛfɛ ma apontow no.
6917,Mituu kwan kɔɔ Europa nyinaa.
6918,Wutuaa sika ahe wɔ ho?
6919,Ɔmampanyin Grant anyɛ biribiara a mmara mma ho kwan.
6920,Mihui sɛ ɔreguare.
6921,Ɔyɛ ɔwarefo a ɔwɔ mma baanu.
6922,Ne ho yɛ fɛ.
6923,Asamoah de atuo maa Boatemaa
6924,M'ani gye saa beae yi ho.
6925,Ná misusuw sɛ wowɔ m'afã.
6926,Ná adwuma a ɔyɛ sɛ sɛnkyerɛwfo no yɛ nea ɛda nsow koraa.
